title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
Understanding the Australian Health Care System,8343,Self-paced on your time,The University of Queensland,Cherri Ryan-Mieke van Driel-Allyson Mutch,Introductory,Medicine,English,9,  £59.00  ,1.5
Understanding Political Concepts,7421,Self-paced on your time,Universit√† degli Studi di Napoli Federico II,Mauro Calise-Werner Patzelt-Fortunato Musella-Valentina Reda,Introductory,Social Sciences,English,6,  £59.00  ,5
Understanding Nuclear Energy,16015,Self-paced on your time,Delft University of Technology,Rudy Konings-Jan-Leen Kloosterman-Stefaan Pomm√©-Victor Hugo S√°nchez Espinoza,Intermediate,Engineering,English,6,  £50.00  ,5
Understanding Classroom Interaction,27114,Self-paced on your time,University of Pennsylvania,Betsy R. Rymes,Introductory,Education & Teacher Training,English,5,  £49.00  ,2.5
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Professor Wendy Umberger-Elizabeth Gunner-Craig Johns-Dr. Alexandra Peralta,Intermediate,Business & Management,English,4,  £199.00  ,2.5
Unconventional Reservoir Geomechanics,0,Self-paced on your time,Stanford University,Mark D. Zoback-Arjun H. Kohli,Introductory,Energy & Earth Sciences,English,10,  £129.00  ,7
Unconscious Bias: From Awareness to Action,26659,Self-paced on your time,Catalyst,Vandana Juneja,Introductory,Communication,English,3,  £49.00  ,1.5
UML Class Diagrams for Software Engineering,33710,Self-paced on your time,KU Leuven University,Monique Snoeck,Introductory,Computer Science,English,3,  £49.00  ,4.5
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,4,  £49.00  ,3
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,4,  £49.00  ,3
T√©cnicas Cuantitativas y Cualitativas para la Investigaci√≥n,29885,Self-paced on your time,Universitat Polit√®cnica de Valencia,Adela Garc√≠a Aracil-Isabel Neira G√≥mez-Fernando Jim√©nez S√°ez-Jos√© F√©lix Lozano Aguilar,Intermediate,Data Analysis & Statistics,English,6,  £65.00  ,2.5
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Xia Ding-Xiaoning Wang-Li Lu-Yuan Li,Introductory,Language,English,6,  £49.00  ,2.5
Tropical coastal ecosystems,23031,Self-paced on your time,The University of Queensland,Ove Hoegh-Guldberg-Sophie Dove-Cath Lovelock-Pete Mumby,Introductory,Biology & Life Sciences,English,9,  £99.00  ,4.5
Transformaci√≥n digital en las empresas,0,Self-paced on your time,Pontificia Universidad Javeriana,ANDRES FELIPE VELASQUEZ-PEDRO PABLO MORA,Introductory,Business & Management,English,7,  £49.00  ,5.5
Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Michael Carr,Introductory,Economics & Finance,English,6,  £199.00  ,2.5
Tourism and Travel Management,38503,Self-paced on your time,The University of Queensland,Sara Dolnicar-Sally Driml-Sheranne Fairley-Karen Hughes,Introductory,Business & Management,English,7,  £5.00  ,2.5
Tools for Academic Engagement in Public Policy,5035,Self-paced on your time,Massachusetts Institute of Technology,Chappell Lawson-Daniel Pomeroy,Introductory,Communication,English,3,  £199.00  ,2
